product_id,product_key,object_id,display_sku,product_name,display_name,brand,lowest_original_price,highest_original_price,lowest_price,highest_price,lowest_discounted_price,highest_discounted_price,in_stock,is_new,on_sale,availability,active_variant_count,fiber,yarn_weight,yarn_content,color_family,content,color_code,knitting_needles,knit_gauge,crochet_hook,crochet_gauge,skein_weight,skein_yardage,quantity,care_instructions,department,category,subcategory,rating_average,rating_count,product_url,image_url,description,days_online,last_modified_at
a5bf0255-0c7d-45b9-b3d1-e66faa4fb4b4,SS76681,81076345,2196277,Yarn Bee Soft & Sleek Print Yarn,972 Costa Mesa - Yarn Bee Soft & Sleek Print Yarn,Yarn Bee,5.49,5.49,3.84,5.49,3.84,3.84,True,False,True,BOTH,8,100% Low Pill Acrylic,4 - Medium,Acrylic,blue,100% Low Pill Acrylic,972 Costa Mesa,5mm (USA: Size 8),"18 Stitches x 23 Rows = 4"" x 4""",6mm (USA: Size J-10),"12 Single Crochet x 15 Rows = 4"" x 4""",4 Ounces,186 Yards,1,"Machine Wash, Cold | Dry Flat | Do Not Iron | Do Not Bleach | Dry Clean, Any Solvent Except Trichloroethylene",Yarn & Needle Art,Yarn & Tools,Yarn,3.8161,87,https://www.hobbylobby.com/yarn-needle-art/yarn-tools/yarn/yarn-bee-soft-sleek-print-yarn/p/ss76681,https://cdn.media.amplience.net/s/hobbylobby/2196277-81076345-IMGSET,"Combined with a pattern and your favorite needles, this Yarn Bee Soft & Sleek Print Yarn will help create soft, beautiful wearables and decorations with ease. Featuring a blend of colors, this pretty yarn can be knitted or crocheted to form shawls, decorations, bags, and much more. Use it with other yarn colors for a vastly colorful creation! Note: We are aware of the importance of dye lots and make every effort to pull the same dye lot on orders for multiple skeins of yarn; however, we are unable to guarantee all skeins will be the same dye lot.",1356.0,2026-05-10T05:10:56.268Z
f83d6aa1-84c3-41ba-b874-4a02e3d841fd,P81138676,81138675,2286102,Yarn Bee Sugarwheel Cotton Sparkle Yarn,175 Let it Go Flamingo - Yarn Bee Sugarwheel Cotton Sparkle Yarn,Yarn Bee,8.49,8.49,5.94,8.49,5.94,5.94,True,False,True,BOTH,4,97% Cotton & 3% Metallic Polyester,3 - Light,Polyester Blend,multi,97% Cotton & 3% Metallic Polyester,175 Let It Go Flamingo,4mm (USA: Size 6 - UK: Size 8),"21 Stitches x 24 Rows = 4"" x 4""",4.5mm (USA: Size 7 - UK: Size 7),"12 Stitches x 17 Rows = 4"" x 4""",4.5 Ounces,296 Yards,1,"Machine Wash, Cold | Tumble Dry, Low | Iron, Low | Do Not Bleach | Dry Clean, Any Solvent",Yarn & Needle Art,Yarn & Tools,Yarn,4.5,20,https://www.hobbylobby.com/yarn-needle-art/yarn-tools/yarn/yarn-bee-sugarwheel-cotton-sparkle-yarn/p/p81138676,https://cdn.media.amplience.net/s/hobbylobby/2286102-81138675-IMGSET,"Make sure your needlecrafts are ultra-sweet with this Yarn Bee Sugarwheel Cotton Sparkle Yarn. This soft yarn features gorgeous, variegated colors, metallic accents, and a soft cotton construction, which you can combine with other skeins for plush, perfect creations. Knit or crochet decor pieces, scarves, hats, and so much more! Note: We are aware of the importance of dye lots and make every effort to pull the same dye lot on orders for multiple skeins of yarn; however, we are unable to guarantee all skeins will be the same dye lot.",1005.0,2026-05-10T05:10:57.298Z
8d10c4e5-6261-4c89-bb6f-f8c65da6b31d,ART704,81186505,2429710,Baby Bee Snugs & Kisses Yarn,09 Teddy - Baby Bee Snugs & Kisses Yarn,Baby Bee,8.99,8.99,6.29,8.99,6.29,6.29,True,False,True,BOTH,9,100% Polyester,6 - Super Bulky,Polyester,brown,100% Polyester,09 Teddy,9mm (USA: Size 13 - UK: Size 0),"7 Stitches x 11 Rows = 4"" x 4""",9mm (USA: Size M-13 - UK: Size 0),"7 Stitches x 7 Rows = 4"" x 4""",8 Ounces,148 Yards,1,"Hand Wash, Cold | Do Not Tumble Dry | Do Not Iron | Do Not Bleach | Do Not Dry Clean",Yarn & Needle Art,Yarn & Tools,Yarn,3.7177,124,https://www.hobbylobby.com/yarn-needle-art/yarn-tools/yarn/baby-bee-snugs-kisses-yarn/p/art704,https://cdn.media.amplience.net/s/hobbylobby/2429710-81186505-02142025-IMGSET,"Make bold and soft blankets and fun throws with this Baby Bee Snugs & Kisses Yarn. Featuring a plush pile and a solid color, this yarn is ideal for all kinds of knitted and crocheted creations. Whether you're searching for a richly textured color or a cushioned and cuddly feel, this yarn will be your go-to! Note: We are aware of the importance of dye lots and make every effort to pull the same dye lot on orders for multiple skeins of yarn; however, we are unable to guarantee all skeins will be the same dye lot.",,2026-05-10T05:09:38.828Z
a24344ed-65b8-4ff5-8afc-9fa728295093,P37190,37190,110023,White Sparkle I Love This Cotton Sparkle Yarn,White Sparkle I Love This Cotton Sparkle Yarn,I Love this Yarn,4.49,4.49,3.14,4.49,3.14,3.14,True,False,True,BOTH,1,,,,white,97% Cotton & 3% Metallic Polyester,06 White Sparkle,5mm (USA Size: 8 - UK Size: 6),"18 Stitches x 23 Rows = 4"" x 4""",5.5mm (USA Size: I-9 - UK Size: 5),"13 Single Crochet x 14 Rows = 4"" x 4""",3 Ounces,153 Yards,1,"Machine Wash, Warm | Do Not Bleach | Tumble Dry, Normal | Low Iron | Dry Clean, Any Solvent",Yarn & Needle Art,Yarn & Tools,Yarn,4.8125,32,https://www.hobbylobby.com/yarn-needle-art/yarn-tools/yarn/white-sparkle-i-love-this-cotton-sparkle-yarn/p/p37190,https://cdn.media.amplience.net/s/hobbylobby/110023-37190-02172025-IMGSET,"Take your knitting and crochet skills to a new level of softness with this White Sparkle I Love This Cotton Sparkle Yarn. Featuring a gorgeous white color with metallic iridescent details, this yarn is perfect for hats, scarves, shawls, sweaters, afghans, and much more. Make a one-of-a-kind creation with this dazzling yarn! Note: We are aware of the importance of dye lots and make every effort to pull the same dye lot on orders for multiple skeins of yarn; however, we are unable to guarantee all skeins will be the same dye lot.",3935.0,2026-05-10T05:12:30.217Z
f7f124fe-4817-485a-a880-57a02f179f76,YN20270,81185367,2424737,Baby Bee Sweet Delight Chunky Yarn,424 Lilac Haze - Baby Bee Sweet Delight Chunky Yarn,Baby Bee,5.99,5.99,4.19,5.99,4.19,4.19,True,False,True,BOTH,16,80% Acrylic & 20% Polyamide,5 - Bulky,"Polyamide Blend, Acrylic Blend",purple,80% Acrylic & 20% Polyamide,424 Lilac Haze,6mm (USA: Size 10 - UK: Size 4),"12 Stitches x 16 Rows = 4"" x 4""",6.5mm (USA: Size K 10.5 - UK: Size 3),"9 Single Crochet x 11 Rows = 4"" x 4""",3.5 Ounces,109 Yards,1,"Machine Wash, Warm | Do Not Bleach | Do Not Iron | Tumble Dry, Gentle Cycle | Dry Clean, Any Solvent",Yarn & Needle Art,Yarn & Tools,Yarn,4.1444,90,https://www.hobbylobby.com/yarn-needle-art/yarn-tools/yarn/baby-bee-sweet-delight-chunky-yarn/p/yn20270,https://cdn.media.amplience.net/s/hobbylobby/2424737-81185367-02142025-IMGSET,"Wrap your baby in soft and gentle homespun creations. This Baby Bee Sweet Delight Chunky Yarn is perfect for knitting or crocheting hats, blankets, and cuddly animals with a soft blend of color. Keep your little one stylish, and ease your own stress levels with a relaxing pastime! Note: We are aware of the importance of dye lots and make every effort to pull the same dye lot on orders for multiple skeins of yarn; however, we are unable to guarantee all skeins will be the same dye lot.",,2026-05-10T05:08:22.240Z
09d36717-cdea-4256-8c8a-e3867a51372d,YN20250,81185290,2424455,Baby Bee Sweet Delight Print Yarn,440 Woodland Elderberry - Baby Bee Sweet Delight Print Yarn,Baby Bee,6.49,6.49,4.54,6.49,4.54,4.54,True,False,True,BOTH,14,60% Acrylic & 40% Polyamide,3 - Light,"Polyamide Blend, Acrylic Blend",pink,60% Acrylic & 40% Polyamide,440 Woodland Elderberry,4mm (USA: Size 6 - UK: Size 8),"23 Stitches x 29 Rows = 4"" x 4""",4.5mm (USA: Size 7 - UK: Size 7),"16 Single Crochet x 20 Rows = 4"" x 4""",4 Ounces,377 Yards,1,"Machine Wash, Warm | Tumble Dry, Normal | Do Not Iron | Do Not Bleach | Dry Clean, Any Solvents",Yarn & Needle Art,Yarn & Tools,Yarn,4.4342,76,https://www.hobbylobby.com/yarn-needle-art/yarn-tools/yarn/baby-bee-sweet-delight-print-yarn/p/yn20250,https://cdn.media.amplience.net/s/hobbylobby/2424455-81185290-07052024-IMGSET,"Add a gentle softness to your baby creations with this Baby Bee Sweet Delight Print Yarn. Boasting a lovely blend of colors, this yarn is the perfect way to enhance your little one's nursery with gorgeous texture. Knit or crochet blankets, bibs, hats, and even decor pieces! Note: We are aware of the importance of dye lots and make every effort to pull the same dye lot on orders for multiple skeins of yarn; however, we are unable to guarantee all skeins will be the same dye lot.",,2026-05-10T05:08:15.705Z
cd7a2b7b-4c42-4724-a54b-986ca186ac06,SS42114,80891081,1671221,Yarn Bee Soft & Sleek Yarn,Yarn Bee Soft & Sleek Yarn,Yarn Bee,4.99,5.49,3.49,5.49,3.49,3.84,True,False,True,BOTH,46,100% Low Pill Acrylic,4 - Medium,Acrylic,pink,100% Low Pill Acrylic,630 Blush,5mm (USA: Size 8),"18 Stitches x 23 Rows = 4"" x 4""",6mm (USA: Size J-10),"12 Single Crochet x 15 Rows = 4"" x 4""",5 Ounces,232 Yards,1,"Machine Wash, Cold | Dry Flat | Do Not Iron | Do Not Bleach | Dry Clean, Any Solvent Except Trichloroethylene",Yarn & Needle Art,Yarn & Tools,Yarn,4.3508,362,https://www.hobbylobby.com/yarn-needle-art/yarn-tools/yarn/yarn-bee-soft-sleek-yarn/p/ss42114,https://cdn.media.amplience.net/s/hobbylobby/1671221-80891081-02142025-IMGSET,"Create something beautiful with this Yarn Bee Soft & Sleek Yarn. This soft yarn is made from low-pill fiber, making it perfect for knitting or crocheting. Use it to make shawls, decor, bags, blankets, and home decor items for yourself or a friend. Knit or crochet your way to fabulous handmade creations! Note: We are aware of the importance of dye lots and make every effort to pull the same dye lot on orders for multiple skeins of yarn; however, we are unable to guarantee all skeins will be the same dye lot.",2826.0,2026-05-10T05:06:58.033Z
1184a4bc-22e1-4a38-9c7e-dd41e2d2316e,YN20630,81076703,2197127,Yarn Bee Tender Touch Yarn,152 Suede - Yarn Bee Tender Touch Yarn,Yarn Bee,3.99,3.99,2.79,3.99,2.79,2.79,True,False,True,BOTH,12,100% Acrylic,5 - Bulky,Acrylic,brown,100% Acrylic,152 Suede,6mm (USA Size: 10 - UK: Size 4),"14 Stitches x 18 Rows = 4"" x 4""",6.5mm (USA Size: K-10.5 - UK: Size 3),"10 Stitches x 12 Rows = 4"" x 4""",3 Ounces,135 Yards,1,"Machine Wash, Lukewarm | Do Not Bleach | Machine Dry | Do Not Iron",Yarn & Needle Art,Yarn & Tools,Yarn,4.2857,63,https://www.hobbylobby.com/yarn-needle-art/yarn-tools/yarn/yarn-bee-tender-touch-yarn/p/yn20630,https://cdn.media.amplience.net/s/hobbylobby/2197127-81076703-IMGSET,"Knit yourself colorful! Unravel the knots in your creativity with this Yarn Bee Tender Touch Yarn. This soft yarn is quick and easy to work with, offering a two-ply, velvety soft yarn that looks just like mohair. Knit or crochet lovely scarves, hats, gloves, cowls, and more. Note: We are aware of the importance of dye lots and make every effort to pull the same dye lot on orders for multiple skeins of yarn; however, we are unable to guarantee all skeins will be the same dye lot.",1360.0,2026-05-10T05:07:30.971Z
ebcdbcbd-5737-4551-ae40-cf80d53b3ec9,SW201210,80880616,1627470,Yarn Bee Sugarwheel Yarn,71 Candied Orange - Yarn Bee Sugarwheel Yarn,Yarn Bee,7.99,7.99,5.59,7.99,5.59,5.59,True,False,True,BOTH,8,97% Acrylic & 3% Metallic Polyester,4 - Medium,"Acrylic, Polyester Blend, Acrylic Blend",multi,100% Acrylic,71 Candied Orange,5mm (USA: Size 8 - UK: Size 6),"18 Stitches x 23 Rows = 4"" x 4""",5.5mm (USA: Size 9 - UK: Size 5),"12 Stitches x 15 Rows = 4"" x 4""",7 Ounces,355 Yards,1,"Machine Wash, Warm | Tumble Dry, Normal | Do Not Iron | Do Not Bleach | Dry Clean, Any Solvent",Yarn & Needle Art,Yarn & Tools,Yarn,4.1585,246,https://www.hobbylobby.com/yarn-needle-art/yarn-tools/yarn/yarn-bee-sugarwheel-yarn/p/sw201210,https://cdn.media.amplience.net/s/hobbylobby/1627470-80880616-IMGSET,"Make sure your needlecrafts are ultra-sweet with this Yarn Bee Sugarwheel Yarn. This soft yarn features gorgeous, variegated colors and a soft construction, which you can combine with other skeins for plush, perfect creations. Knit or crochet decor pieces, scarves, hats, and so much more! Note: We are aware of the importance of dye lots and make every effort to pull the same dye lot on orders for multiple skeins of yarn; however, we are unable to guarantee all skeins will be the same dye lot. The variegation of colors on each skein will vary in appearance from the interior to exterior. Each skein may contain any or all the colors you see pictured.",2894.0,2026-05-10T05:08:08.380Z
4b0f7a27-ba0d-4cf8-aa8f-b907b30b6dec,AY87930,81040508,2095164,Baby Bee Adore-A-Ball Bulky Yarn,982 Happy Face - Baby Bee Adore-A-Ball Super Bulky Yarn,Baby Bee,4.99,4.99,3.49,4.99,3.49,3.49,True,False,True,BOTH,9,100% Polyester,5 - Bulky,Polyester,multi,100% Polyester,982 Happy Face,15mm (USA: Size 19),"7 Stitches x 9 Rows = 4"" x 4""",15mm (USA: Size P/Q),"7 Stitches x 8 Rows = 4"" x 4""",3.5 Ounces,38 Yards,1,"Machine Wash, Cold | Do Not Tumble Dry | Do Not Iron | Do Not Bleach | Dry Clean, Any Solvent",Yarn & Needle Art,Yarn & Tools,Yarn,3.5361,97,https://www.hobbylobby.com/yarn-needle-art/yarn-tools/yarn/baby-bee-adore-a-ball-bulky-yarn/p/ay87930,https://cdn.media.amplience.net/s/hobbylobby/2095164-81040508-IMGSET,"Create a beautiful masterpiece your little one will love with this Baby Bee Adore-A-Ball Bulky Yarn! Soft to the touch, this yarn is excellent for creating warm wearables or knitted blankets for your little one to enjoy. Grab your knitting needles or crochet hooks and have fun! Note: We are aware of the importance of dye lots and make every effort to pull the same dye lot on orders for multiple skeins of yarn; however, we are unable to guarantee all skeins will be the same dye lot.",1753.0,2026-05-10T05:12:36.100Z
